Protein	q_value	Difference
AAK1	0.0168	-0.725177447
AATF	0.96351865	-0.013003349
ABCB6	0.02543876	-0.727406025
ABCD3	0.005298969	-1.184028467
ABCF1	0.005023256	-1.826402982
ABCF2	0.025196262	-1.06307888
ABI1	0.032734478	-1.268774986
ABLIM1	0.015649524	-0.939440409
ACAD11	0.003661017	-1.681404273
ACAD9	0.014628319	-0.672973633
ACKR3	0.72084879	0.167731285
ACTB	0.477094253	0.262379328
ACTN1	0.006392523	-1.256470362
ACTR5	0.235954351	-0.476198196
ADGRG1	0.027905465	-0.569850127
AFAP1	0.156116535	-0.383077939
AFDN	0.009370474	-0.825529257
AFF4	0.086969369	-0.238339742
AFG3L2	0.090863271	-0.358988444
AFTPH	0.194624434	-0.398841699
AGAP1	0.309504563	-0.406899611
AGPAT2	0.858897844	-0.095277945
AGRN	0.752690274	-0.122691472
AHCTF1	0.791869776	-0.059855461
AHDC1	0.354914321	-0.373276711
AIF1L	0.33668746	0.378109296
AKAP1	0.406422843	-0.338700136
AKAP17A	0.022274112	-1.106569449
AKAP8	0.802057088	-0.069473267
AKAP8L	0.257827467	-0.358993053
ALDH18A1	0.930145372	0.024114927
ALDH3A2	0.998321009	-0.000995954
ANAPC1	0.309463796	-0.495704651
ANAPC5	0.69988787	-0.185872555
ANAPC7	0.021921368	-0.688928286
ANKHD1	0.095513043	-0.370150725
ANKRD11	0.416358604	0.121503989
ANKRD17	0.046009132	-0.680064837
ANLN	0.009123867	-0.934928576
AP1G1	0.012257069	-1.192002932
AP2S1	0.098931955	-0.394235293
APLP2	0.064635365	-0.981743972
APP	0.960965272	-0.023253282
APPL2	0.02858705	-0.834797859
AQR	0.530902973	-0.126394908
ARAF	0.059124358	-0.820287546
ARFGAP3	0.662296641	0.047370434
ARGLU1	0.118584718	-0.26952219
ARHGAP39	0.449932084	-0.166300456
ARHGEF11	0.025679012	-0.721571287
ARHGEF12	0.041058403	-0.366393884
ARHGEF2	0.012375635	-0.526607037
ARHGEF9	0.879167362	-0.033650239
ARID2	0.033277267	-1.198839029
ARMC8	0.217674009	-0.614095847
ARPC3	0.957742079	0.027429104
ARPC5	0.14614433	0.38793993
ARPC5L	0.525885264	0.186986605
ASCC1	0.062614141	-0.637903531
ASCC2	0.026237082	-0.906815529
ASCC3	0.031593039	-0.836024125
ASF1A	0.554280044	-0.269959132
ASH2L	0.081230203	-0.788482507
ASPH	0.011398417	-0.799656709
ATAD2	0.90370032	-0.047091007
ATAD5	0.096551605	-0.352197965
ATF1	0.040912114	-0.696985086
ATP1B1	0.022842975	-0.754502296
ATP2A2	0.484667431	-0.156441371
ATP5F1A	0.464253194	-0.318339666
ATP5F1B	0.970867758	-0.015119871
ATP5F1C	0.300600791	-0.325069427
ATP5F1D	0.650827443	-0.197817485
ATP5PO	0.285951936	-0.283811728
ATP6AP1	0.03935201	-0.401210467
ATP6AP2	0.098712683	-0.223940055
ATP6V0A2	0.171935035	-0.583508492
ATP6V0D1	0.038401973	-0.709052563
ATP6V1B2	0.117934837	-0.466229121
ATP9A	0.992413432	0.003113429
ATXN2	0	-0.819815954
ATXN7	0.351168342	-0.358310699
ATXN7L3	0.417418269	-0.177375635
AUP1	0.686370067	-0.136987686
AURKA	0.036789014	-1.534543355
B3GAT3	0.395110024	-0.229797681
B4GALT7	0.008961424	-0.532209396
BABAM1	0.405023766	-0.354848703
BABAM2	0.0414451	-0.278526942
BAIAP2	0.009378882	-1.009049733
BAP18	0.094773006	-0.97513024
BAZ1A	0.0085625	-1.355086327
